CompositeId,Refactorings,Project,Previous Commit,Current Commit,Smell Type,Smell_Before,Smell After,Smells Added,Smells Removed,Smells Not Affected
319,"['Rename Variable', 'Extract Method', 'Change Variable Type', 'Rename Variable', 'Change Attribute Type', 'Rename Variable', 'Change Attribute Type', 'Inline Method', 'Rename Method', 'Rename Method', 'Change Variable Type', 'Change Return Type']",dubbo,02cca0976f68db240867c7016d1a58b35cfd4a4b,550b40461197fbd9d1e6dc7ba5cb6ade8d7be77f,MessageChain,1,2,1,0,0
319,"['Rename Variable', 'Extract Method', 'Change Variable Type', 'Rename Variable', 'Change Attribute Type', 'Rename Variable', 'Change Attribute Type', 'Inline Method', 'Rename Method', 'Rename Method', 'Change Variable Type', 'Change Return Type']",dubbo,02cca0976f68db240867c7016d1a58b35cfd4a4b,550b40461197fbd9d1e6dc7ba5cb6ade8d7be77f,FeatureEnvy,5,3,0,2,0
319,"['Rename Variable', 'Extract Method', 'Change Variable Type', 'Rename Variable', 'Change Attribute Type', 'Rename Variable', 'Change Attribute Type', 'Inline Method', 'Rename Method', 'Rename Method', 'Change Variable Type', 'Change Return Type']",dubbo,02cca0976f68db240867c7016d1a58b35cfd4a4b,550b40461197fbd9d1e6dc7ba5cb6ade8d7be77f,DispersedCoupling,1,2,1,0,0
319,"['Rename Variable', 'Extract Method', 'Change Variable Type', 'Rename Variable', 'Change Attribute Type', 'Rename Variable', 'Change Attribute Type', 'Inline Method', 'Rename Method', 'Rename Method', 'Change Variable Type', 'Change Return Type']",dubbo,02cca0976f68db240867c7016d1a58b35cfd4a4b,550b40461197fbd9d1e6dc7ba5cb6ade8d7be77f,LongMethod,1,0,0,0,0
475,"['Move Method', 'Move Attribute', 'Move Attribute', 'Move Method']",dubbo,873432056b9a93d51bd678b501739d234e3869a6,5cc3821438e4f9bcf3a8503ba08e9a0008ef0f4c,FeatureEnvy,2,1,0,1,0
475,"['Move Method', 'Move Attribute', 'Move Attribute', 'Move Method']",dubbo,873432056b9a93d51bd678b501739d234e3869a6,5cc3821438e4f9bcf3a8503ba08e9a0008ef0f4c,LongParameterList,0,1,1,0,0
481,"['Extract Method', 'Rename Method', 'Extract Variable', 'Inline Variable', 'Change Return Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type']",dubbo,2c36be62d3ecd1d8fc6526cfffc83e7630110589,b5a078f186fd2e7f27a3d8c2af1bce3ff2e88e80,DispersedCoupling,1,0,0,0,0
481,"['Extract Method', 'Rename Method', 'Extract Variable', 'Inline Variable', 'Change Return Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type']",dubbo,2c36be62d3ecd1d8fc6526cfffc83e7630110589,b5a078f186fd2e7f27a3d8c2af1bce3ff2e88e80,FeatureEnvy,3,1,0,2,0
481,"['Extract Method', 'Rename Method', 'Extract Variable', 'Inline Variable', 'Change Return Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type']",dubbo,2c36be62d3ecd1d8fc6526cfffc83e7630110589,b5a078f186fd2e7f27a3d8c2af1bce3ff2e88e80,LongMethod,0,2,1,0,0
701,"['Extract Method', 'Extract Method', 'Inline Variable', 'Parameterize Variable', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method']",dubbo,5146f6d65d62eda5db67273e17f3de61af5e67b1,cad253a0d745204c617df007cd8239305a53173f,FeatureEnvy,3,3,0,0,0
701,"['Extract Method', 'Extract Method', 'Inline Variable', 'Parameterize Variable', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method']",dubbo,5146f6d65d62eda5db67273e17f3de61af5e67b1,cad253a0d745204c617df007cd8239305a53173f,LongMethod,3,1,0,2,0
701,"['Extract Method', 'Extract Method', 'Inline Variable', 'Parameterize Variable', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method']",dubbo,5146f6d65d62eda5db67273e17f3de61af5e67b1,cad253a0d745204c617df007cd8239305a53173f,LongParameterList,1,1,0,0,0
701,"['Extract Method', 'Extract Method', 'Inline Variable', 'Parameterize Variable', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method']",dubbo,5146f6d65d62eda5db67273e17f3de61af5e67b1,cad253a0d745204c617df007cd8239305a53173f,MessageChain,1,0,0,0,0
701,"['Extract Method', 'Extract Method', 'Inline Variable', 'Parameterize Variable', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method']",dubbo,5146f6d65d62eda5db67273e17f3de61af5e67b1,cad253a0d745204c617df007cd8239305a53173f,BrainMethod,1,0,0,0,0
704,"['Change Attribute Type', 'Rename Variable', 'Extract Method', 'Change Variable Type', 'Rename Variable']",dubbo,c2c9de9d1206aebb3026a740d32cabea1677164c,d2b5914c359758d7339e028938bc62cad1183c0b,MessageChain,1,1,0,0,0
704,"['Change Attribute Type', 'Rename Variable', 'Extract Method', 'Change Variable Type', 'Rename Variable']",dubbo,c2c9de9d1206aebb3026a740d32cabea1677164c,d2b5914c359758d7339e028938bc62cad1183c0b,FeatureEnvy,5,4,0,1,0
704,"['Change Attribute Type', 'Rename Variable', 'Extract Method', 'Change Variable Type', 'Rename Variable']",dubbo,c2c9de9d1206aebb3026a740d32cabea1677164c,d2b5914c359758d7339e028938bc62cad1183c0b,DispersedCoupling,1,1,0,0,0
704,"['Change Attribute Type', 'Rename Variable', 'Extract Method', 'Change Variable Type', 'Rename Variable']",dubbo,c2c9de9d1206aebb3026a740d32cabea1677164c,d2b5914c359758d7339e028938bc62cad1183c0b,LongMethod,1,0,0,0,0
708,"['Move Attribute', 'Rename Variable', 'Change Variable Type', 'Rename Variable', 'Extract Method']",dubbo,99771a4ffee6b470d1baca912b87dbe4b75edb55,5146f6d65d62eda5db67273e17f3de61af5e67b1,FeatureEnvy,2,1,0,1,0
708,"['Move Attribute', 'Rename Variable', 'Change Variable Type', 'Rename Variable', 'Extract Method']",dubbo,99771a4ffee6b470d1baca912b87dbe4b75edb55,5146f6d65d62eda5db67273e17f3de61af5e67b1,LongMethod,2,0,0,0,0
708,"['Move Attribute', 'Rename Variable', 'Change Variable Type', 'Rename Variable', 'Extract Method']",dubbo,99771a4ffee6b470d1baca912b87dbe4b75edb55,5146f6d65d62eda5db67273e17f3de61af5e67b1,MessageChain,1,0,0,0,0
708,"['Move Attribute', 'Rename Variable', 'Change Variable Type', 'Rename Variable', 'Extract Method']",dubbo,99771a4ffee6b470d1baca912b87dbe4b75edb55,5146f6d65d62eda5db67273e17f3de61af5e67b1,DispersedCoupling,1,0,0,0,0
