Composite,Number of occurrence
"[Move Attribute, Move Attribute]",106
"[Extract Variable, Extract Variable, Extract Variable]",15
"[Change Parameter Type, Change Parameter Type]",23
"[Inline Variable, Extract Variable, Rename Variable]",6
"[Change Variable Type, Rename Variable, Change Variable Type, Change Variable Type, Extract Class, Change Variable Type, Change Variable Type]",1
"[Change Variable Type, Change Attribute Type, Extract And Move Method]",5
"[Move And Rename Attribute, Change Variable Type]",2
"[Change Variable Type, Extract And Move Method, Rename Parameter]",4
"[Change Attribute Type, Rename Parameter, Extract And Move Method]",6
"[Rename Parameter, Rename Parameter, Rename Parameter, Rename Method]",10
"[Pull Up Method, Pull Up Attribute, Change Parameter Type]",10
"[Change Variable Type, Change Parameter Type, Change Variable Type]",3
"[Rename Variable, Extract Method, Extract Method, Extract Method]",1
"[Rename Method, Extract Method, Extract Method]",2
"[Inline Variable, Extract Variable, Rename Variable, Rename Variable, Rename Variable]",2
"[Change Attribute Type, Extract And Move Method]",15
"[Rename Parameter, Rename Parameter, Rename Parameter, Rename Parameter, Rename Method]",3
"[Move Method, Move Attribute]",47
"[Pull Up Attribute, Pull Up Attribute]",44
"[Extract Variable, Extract Method, Extract Variable, Extract Variable, Extract Method]",2
"[Change Variable Type, Extract Class]",20
"[Extract Method, Rename Variable, Extract Method]",12
"[Change Parameter Type, Pull Up Method, Pull Up Method, Rename Parameter]",1
"[Extract Method, Extract And Move Method]",2
"[Pull Up Attribute, Change Parameter Type]",30
"[Pull Up Method, Change Parameter Type, Rename Parameter, Rename Parameter]",4
"[Change Variable Type, Extract And Move Method, Rename Parameter, Extract And Move Method]",2
"[Rename Parameter, Rename Method]",70
"[Extract Method, Rename Method]",7
"[Rename Method, Rename Parameter, Extract Method, Extract Method, Extract Attribute]",1
"[Extract Method, Change Parameter Type, Rename Parameter]",26
"[Extract Method, Rename Variable, Rename Variable, Extract Method, Extract Method]",1
"[Extract Method, Change Parameter Type, Change Variable Type]",2
"[Extract Method, Extract Method, Rename Variable]",2
"[Change Variable Type, Extract And Move Method, Extract And Move Method]",4
"[Rename Variable, Change Variable Type, Change Variable Type]",7
"[Change Parameter Type, Rename Parameter, Rename Parameter]",12
"[Extract Method, Extract Method, Extract Variable, Extract Variable]",4
