Composite,Number of occurrence
"[Extract Method, Extract Method, Rename Method, Rename Variable, Rename Method, Rename Variable, Extract Method, Extract Method, Extract Method, Rename Variable, Extract Method, Extract Method, Extract Method, Rename Method, Extract Method, Rename Variable, Extract Method]",1
"[Rename Method, Extract Method, Extract Method, Extract Method, Change Variable Type, Rename Method, Extract Method]",1
"[Change Return Type, Extract Method, Move Attribute, Move Attribute, Move Attribute]",1
"[Change Variable Type, Extract Variable, Inline Variable, Rename Method, Rename Variable, Change Parameter Type, Change Attribute Type, Rename Variable, Change Return Type, Rename Variable, Change Attribute Type, Rename Parameter, Extract Variable, Change Parameter Type, Inline Variable, Rename Parameter, Rename Variable, Change Attribute Type, Extract Variable, Extract Method, Rename Parameter, Extract Method, Move Method]",1
"[Move Method, Rename Method, Rename Method, Pull Up Method, Rename Method, Rename Parameter, Pull Up Attribute, Change Return Type, Pull Up Method, Rename Parameter, Pull Up Method, Extract Method, Move Method, Change Return Type, Move Method, Move Method, Rename Parameter, Rename Parameter, Rename Attribute, Move Method, Rename Parameter, Parameterize Variable, Inline Method, Rename Method, Pull Up Method, Pull Up Attribute]",1
"[Inline Variable, Extract Method, Extract Method, Extract Method, Extract Variable, Pull Up Attribute, Extract Method, Extract Method, Extract Method]",1
"[Move Method, Move Method, Change Attribute Type, Change Parameter Type, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Change Variable Type, Change Attribute Type, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Change Return Type, Change Variable Type, Move Method, Move Method, Move Method, Change Parameter Type, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method]",1
"[Rename Method, Rename Variable, Rename Method, Extract Method]",1
"[Extract Method, Pull Up Method, Rename Method]",1
"[Rename Parameter, Extract Method, Rename Parameter, Move Method, Rename Variable]",1
"[Extract Method, Change Variable Type, Extract Method, Extract Method, Extract Method, Extract Method, Change Variable Type, Change Variable Type]",1
"[Merge Variable, Extract Method]",1
"[Extract Method, Change Variable Type, Move Attribute, Rename Variable, Rename Variable, Rename Variable, Inline Method, Rename Variable, Change Variable Type]",1
"[Rename Variable, Rename Variable, Extract Method, Rename Variable, Extract Variable, Change Variable Type, Rename Variable]",1
"[Move Method, Rename Parameter, Extract Method]",1
"[Extract Method, Rename Method]",2
"[Extract Method, Parameterize Variable]",1
